General,,,,,,,,,
1,Timestamp,,,,,,,,
2,Gender,Male,Female,Prefer not to say,,,,,
32c,I find solutions to problems I encounter,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,,,
32d,I can keep going despite difficulties,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,,,
32e,I can handle multiple demands,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,,,
32f,I remain hopeful for the future even when facing obstacles and failures,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,,,
32g,"In general, I am in control of my emotions",Strongly disagree,Disagree,Neutral,Agree,Strongly agree,,,
32h,I take pride in my achievements,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,,,
32i,"When I face challenges, I meet them well",Strongly disagree,Disagree,Neutral,Agree,Strongly agree,,,
32j,I feel that my life has meaning,Strongly disagree,Disagree,Neutral,Agree,Strongly agree,,,
Quality of Life,,,,,,,,,
33a,General sense of physical health,Almost never,Rarely,Sometimes,Often,Almost always,,,
33b,Feeling of pain,Almost never,Rarely,Sometimes,Often,Almost always,,,
33c,Able to carry out tasks inside and outside the home (excluding work),Almost never,Rarely,Sometimes,Often,Almost always,,,
33d,"Able to perform basic activities like sleeping, eating, etc.",Almost never,Rarely,Sometimes,Often,Almost always,,,
33e,Fulfill my role as a parent/spouse/close relative/child well,Almost never,Rarely,Sometimes,Often,Almost always,,,
33f,"Maintain intimate relationship with partner (if single, mark 'Almost never')",Almost never,Rarely,Sometimes,Often,Almost always,,,
33g,Maintain connections with friends/acquaintances/extended family,Almost never,Rarely,Sometimes,Often,Almost always,,,
33h,Feel capable of handling everyday life tasks,Almost never,Rarely,Sometimes,Often,Almost always,,,
33i,Feel independent in performing daily life tasks,Almost never,Rarely,Sometimes,Often,Almost always,,,
33j,Can concentrate on tasks I perform,Almost never,Rarely,Sometimes,Often,Almost always,,,
33k,Feel capable of thinking and solving problems,Almost never,Rarely,Sometimes,Often,Almost always,,,
33l,Feelings of insecurity or confusion,Almost never,Rarely,Sometimes,Often,Almost always,,,
33m,Anxiety/fear,Almost never,Rarely,Sometimes,Often,Almost always,,,
33n,Depression/sadness,Almost never,Rarely,Sometimes,Often,Almost always,,,
33o,Tension/restlessness,Almost never,Rarely,Sometimes,Often,Almost always,,,
33p,Hope,Almost never,Rarely,Sometimes,Often,Almost always,,,
33q,Pleasure/enjoyment,Almost never,Rarely,Sometimes,Often,Almost always,,,
33r,Motivation to make an effort and continue functioning,Almost never,Rarely,Sometimes,Often,Almost always,,,
33s,Overall satisfaction with life,Almost never,Rarely,Sometimes,Often,Almost always,,,
34,Consent to receive follow-up survey? Enter email,,,,,,,,
